id,hip,hd,hr,gl,bf,proper,ra,dec,dist,pmra,pmdec,rv,mag,absmag,spect,ci,x,y,z,vx,vy,vz,rarad,decrad,pmrarad,pmdecrad,bayer,flam,con,comp,comp_primary,base,lum,var,var_min,var_max,greek_letters,spect_desig,color,linecolor
66691,66903.0,120084.0,5184.0,,,,13.71093,78.064437,100.7049,-64.25,45.78,-7.0,5.91,0.895,G7III:,1.0,-18.772432,-9.019774,98.52768,7.46e-06,3.838e-05,-2.38e-06,3.589512965438089,1.3624814530423923,-3.114927897e-07,2.21947702e-07,,,UMi,1,66691,,38.19442708400464,,,,,G,#FFD423,#FFD423
66695,66907.0,119458.0,5161.0,,,,13.712063,34.989021,146.8429,13.01,11.0,-15.0,5.98,0.146,G5III,0.857,-108.419319,-52.134326,84.2025,1.939e-05,-9.5e-07,-2.38e-06,3.5898098268997733,0.61067362163316,6.30742598e-08,5.3329504e-08,,,CVn,1,66695,,76.13774324561511,,,,,G,#FFD423,#FFD423
66711,66923.0,119193.0,5152.0,,,,13.715177,-50.790236,259.7403,-8.85,-15.81,-10.0,6.43,-0.643,M0III,1.671,-147.92043,-71.277195,-201.256267,1.488e-05,1.954e-05,-4.66e-06,3.590624863572406,-0.8864568496791174,-4.29060107e-08,-7.6649042e-08,,,Cen,1,66711,,157.47078772898482,,,,,M,#FF2620,#FF2620
66712,66924.0,119250.0,5155.0,,,,13.715287,-41.401043,110.3753,-51.69,-37.81,28.0,5.96,0.746,K0III,1.019,-74.584158,-35.941854,-72.994168,-1.93e-05,2.14e-05,-3.411e-05,3.590653687248325,-0.722584517945455,-2.506001914e-07,-1.83308052e-07,,,Cen,1,66712,,43.81269820224928,,,,,K,#F99220,#F99220
66713,66925.0,119159.0,5151.0,,,,13.715587,-56.767971,884.9558,-7.42,-4.76,-23.0,6.0,-3.735,B0.5III,-0.096,-436.882929,-210.574985,-740.228266,1.318e-05,4.169e-05,8.48e-06,3.590732303234718,-0.9907880059248962,-3.5973175e-08,-2.3077131e-08,,,Cen,1,66713,,2716.439268839081,,,,,B,#93C2F1,#93C2F1
66724,66936.0,119425.0,5159.0,,84    Vir,,13.717698,3.537903,73.0994,-294.22,-72.88,-41.0,5.35,1.03,K1III,1.091,-65.706132,-31.714743,4.510855,-9.07e-06,0.0001114,-2.836e-05,3.5912849168354044,0.0617480473431625,-1.4264188109e-06,-3.5333221e-07,,84.0,Vir,1,66724,,33.728730865886874,,,,,K,#F99220,#F99220
66772,66984.0,119361.0,5157.0,,,,13.727802,-42.067521,613.4969,-13.49,-4.31,-21.0,5.96,-2.979,B8III,-0.075,-409.629014,-199.055573,-411.046426,4.53e-06,4.681e-05,4.87e-06,3.593930215738052,-0.7342167568353537,-6.54013655e-08,-2.0895469e-08,,,Cen,1,66772,,1353.9418114050748,,,,,B,#93C2F1,#93C2F1
66780,66992.0,119584.0,5164.0,,,,13.729212,22.700423,170.3578,49.19,-37.04,9.0,6.12,-0.037,K4III,1.447,-141.329752,-68.742473,65.743296,-4.8e-07,-4.541e-05,-2.467e-05,3.594299195698683,0.3961971227188637,2.384798494e-07,-1.79574987e-07,,,Boo,1,66780,,90.11560443397042,,,,,K,#F99220,#F99220
66793,67005.0,119765.0,5169.0,,,,13.731884,52.064413,96.0615,-19.56,-5.79,-7.0,6.02,1.107,A1V,0.017,-53.08918,-25.868366,75.763886,-1.95e-06,9.18e-06,-7.3e-06,3.5949989402413856,0.90869543538127,-9.48295559e-08,-2.8070712e-08,,,UMa,1,66793,,31.419552846410717,,,,,A,#f3e8d3,#f3e8d3
66824,67036.0,119419.0,5158.0,,,,13.737781,-51.012454,119.0476,-29.15,-19.87,9.0,6.44,1.061,A0p,-0.106,-67.280542,-32.911882,-92.533707,-4.59e-06,1.648e-05,-1.437e-05,3.5965426184221063,-0.8903352849091825,-1.413231878e-07,-9.6332478e-08,,,Cen,1,66824,,32.77932453002282,V827,6.46,6.41,,A,#f3e8d3,#f3e8d3
66845,67057.0,119605.0,5165.0,,83    Vir,,13.741618,-16.179072,252.5253,12.62,-5.63,1.0,5.55,-1.462,G1IV/V,0.805,-217.748168,-106.788163,-70.363736,7.64e-06,-1.346e-05,-6.9e-06,3.597547304355506,-0.2823780828313375,6.11834864e-08,-2.729501e-08,,83.0,Vir,1,66845,,334.81121738605384,,,,,G,#FFD423,#FFD423
66859,67071.0,119623.0,5166.0,,,,13.746019,-25.500933,158.7302,-57.64,-22.17,6.0,6.21,0.207,K3III,1.374,-128.557786,-63.231159,-68.337469,-1.795e-05,4.06e-05,-1.804e-05,3.598699364842202,-0.4450752464779299,-2.794466054e-07,-1.07483192e-07,,,Hya,1,66859,,71.97803728026993,,,,,K,#F99220,#F99220
66890,67103.0,119992.0,5177.0,,,,13.753657,55.879349,34.5901,104.91,-358.91,-4.0,6.47,3.775,F7IV-V,0.486,-17.393644,-8.598382,28.635669,-3.481e-05,-3.683e-05,-3.714e-05,3.6006989414077823,0.9752786236081752,5.086180322e-07,-1.74004478e-06,,,UMa,1,66890,,2.691534803926915,,,,,F,#d4bf94,#d4bf94
66891,67104.0,119784.0,,,,,13.753732,10.325305,128.866,-54.99,-44.79,0.0,6.42,0.869,K2,1.226,-113.649916,-56.184047,23.097522,-1.972e-05,2.857e-05,-2.753e-05,3.6007186542583742,0.1802105739545887,-2.665990429e-07,-2.17148047e-07,,,Boo,1,66891,,39.12010393873511,,,,,K,#F99220,#F99220
66927,67139.0,119786.0,5170.0,,85    Vir,,13.759741,-15.767467,106.0445,-40.99,-23.74,-41.0,6.18,1.053,A0V,0.046,-91.413999,-45.370583,-28.81578,2.975e-05,3.829e-05,-3.5e-07,3.6022918831551327,-0.2751942110792112,-1.987251276e-07,-1.15094767e-07,,85.0,Vir,1,66927,,33.02174352670766,,,,,A,#f3e8d3,#f3e8d3
66931,67143.0,119752.0,5167.0,,,,13.760249,-26.116009,87.0322,-71.63,-10.23,-10.0,5.81,1.112,A0V,0.023,-69.994518,-34.751234,-38.310671,-3.51e-06,3.2e-05,6.3e-07,3.602424721369655,-0.4558103519688412,-3.472720393e-07,-4.9596439e-08,,,Hya,1,66931,,31.27519311407981,,,,,A,#f3e8d3,#f3e8d3
66941,67153.0,119756.0,5168.0,Gl 525.1,1    Cen,,13.761471,-33.043721,19.4024,-461.85,-146.17,-21.6,4.23,2.791,F3V,0.39,-14.565089,-7.237099,-10.579613,3.97e-06,5.048e-05,5.2e-07,3.6027447947701434,-0.576721733706365,-2.2391119836e-06,-7.08652156e-07,,1.0,Cen,1,66941,,6.661929002234552,,,,,F,#d4bf94,#d4bf94
66960,67172.0,119853.0,5173.0,,86    Vir,,13.765644,-12.426528,124.6883,-19.18,8.0,-11.0,5.5,0.021,G8III,0.898,-108.988101,-54.303042,-26.831343,3.73e-06,1.481e-05,7.14e-06,3.603837246361441,-0.2168838236304275,-9.29872639e-08,3.8785094e-08,,86.0,Vir,1,66960,,85.42795299048483,,,,,G,#FFD423,#FFD423
66982,67194.0,120047.0,5179.0,,,,13.770435,41.088746,52.5486,-113.84,-42.28,-13.0,5.88,2.277,A5V,0.211,-35.426806,-17.706747,34.536293,-1.033e-05,2.726e-05,-1.686e-05,3.605091524770928,0.7171339034317901,-5.519118939e-07,-2.04979224e-07,,,CVn,1,66982,,10.695473105661602,,,,,A,#f3e8d3,#f3e8d3
